FR14_DE	FR58_DE	FR912_DE	FR1619_DE	FR2326_DE
ENSG00000143256	NA	NA	NA	FR1619	NA
ENSG00000143977	NA	NA	NA	FR1619	NA
ENSG00000145700	NA	NA	NA	FR1619	NA
ENSG00000146757	NA	NA	NA	FR1619	NA
ENSG00000147121	NA	NA	NA	FR1619	NA
ENSG00000152620	NA	NA	NA	FR1619	NA
ENSG00000153006	NA	NA	NA	FR1619	NA
ENSG00000154945	NA	NA	NA	FR1619	NA
ENSG00000158290	NA	NA	NA	FR1619	NA
ENSG00000163346	NA	NA	NA	FR1619	NA
ENSG00000164691	NA	NA	NA	FR1619	NA
ENSG00000165028	NA	NA	NA	FR1619	NA
ENSG00000165476	NA	NA	NA	FR1619	NA
ENSG00000166265	NA	NA	NA	FR1619	NA
ENSG00000167767	NA	NA	NA	FR1619	NA
ENSG00000168209	NA	NA	NA	FR1619	NA
ENSG00000169567	NA	NA	NA	FR1619	NA
ENSG00000170323	NA	NA	NA	FR1619	NA
ENSG00000172081	NA	NA	NA	FR1619	NA
ENSG00000172380	NA	NA	NA	FR1619	NA
ENSG00000174238	NA	NA	NA	FR1619	NA
ENSG00000174796	NA	NA	NA	FR1619	NA
ENSG00000176340	NA	NA	NA	FR1619	NA
ENSG00000176476	NA	NA	NA	FR1619	NA
ENSG00000176624	NA	NA	NA	FR1619	NA
ENSG00000179115	NA	NA	NA	FR1619	NA
ENSG00000180537	NA	NA	NA	FR1619	NA
ENSG00000181163	NA	NA	NA	FR1619	NA
ENSG00000183111	NA	NA	NA	FR1619	NA
ENSG00000184575	NA	NA	NA	FR1619	NA
ENSG00000184752	NA	NA	NA	FR1619	NA
ENSG00000185753	NA	NA	NA	FR1619	NA
ENSG00000186174	NA	NA	NA	FR1619	NA
ENSG00000196072	NA	NA	NA	FR1619	NA
ENSG00000197256	NA	NA	NA	FR1619	NA
ENSG00000197302	NA	NA	NA	FR1619	NA
ENSG00000198142	NA	NA	NA	FR1619	NA
ENSG00000198286	NA	NA	NA	FR1619	NA
ENSG00000198862	NA	NA	NA	FR1619	NA
ENSG00000203667	NA	NA	NA	FR1619	NA
ENSG00000203705	NA	NA	NA	FR1619	NA
ENSG00000204010	NA	NA	NA	FR1619	NA
ENSG00000204178	NA	NA	NA	FR1619	NA
ENSG00000204219	NA	NA	NA	FR1619	NA
ENSG00000204569	NA	NA	NA	FR1619	NA
ENSG00000225830	NA	NA	NA	FR1619	NA
ENSG00000278272	NA	NA	NA	FR1619	NA
ENSG00000004939	NA	NA	NA	NA	FR2326
ENSG00000028137	NA	NA	NA	NA	FR2326
ENSG00000034677	NA	NA	NA	NA	FR2326
ENSG00000042317	NA	NA	NA	NA	FR2326
ENSG00000060762	NA	NA	NA	NA	FR2326
ENSG00000071967	NA	NA	NA	NA	FR2326
ENSG00000073756	NA	NA	NA	NA	FR2326
ENSG00000089195	NA	NA	NA	NA	FR2326
ENSG00000101182	NA	NA	NA	NA	FR2326
ENSG00000101255	NA	NA	NA	NA	FR2326
ENSG00000102755	NA	NA	NA	NA	FR2326
ENSG00000105835	NA	NA	NA	NA	FR2326
ENSG00000109743	NA	NA	NA	NA	FR2326
ENSG00000111144	NA	NA	NA	NA	FR2326
ENSG00000112081	NA	NA	NA	NA	FR2326
ENSG00000112149	NA	NA	NA	NA	FR2326
ENSG00000112195	NA	NA	NA	NA	FR2326
ENSG00000115271	NA	NA	NA	NA	FR2326
ENSG00000116030	NA	NA	NA	NA	FR2326
ENSG00000119638	NA	NA	NA	NA	FR2326
ENSG00000121966	NA	NA	NA	NA	FR2326
ENSG00000123689	NA	NA	NA	NA	FR2326
ENSG00000124731	NA	NA	NA	NA	FR2326
ENSG00000125733	NA	NA	NA	NA	FR2326
ENSG00000125735	NA	NA	NA	NA	FR2326
ENSG00000125962	NA	NA	NA	NA	FR2326
ENSG00000127528	NA	NA	NA	NA	FR2326
ENSG00000129116	NA	NA	NA	NA	FR2326
ENSG00000131188	NA	NA	NA	NA	FR2326
ENSG00000134046	NA	NA	NA	NA	FR2326
ENSG00000134815	NA	NA	NA	NA	FR2326
ENSG00000137876	NA	NA	NA	NA	FR2326
ENSG00000143742	NA	NA	NA	NA	FR2326
ENSG00000146872	NA	NA	NA	NA	FR2326
ENSG00000161920	NA	NA	NA	NA	FR2326
ENSG00000162302	NA	NA	NA	NA	FR2326
ENSG00000163220	NA	NA	NA	NA	FR2326
ENSG00000163512	NA	NA	NA	NA	FR2326
ENSG00000164258	NA	NA	NA	NA	FR2326
ENSG00000166004	NA	NA	NA	NA	FR2326
ENSG00000166272	NA	NA	NA	NA	FR2326
ENSG00000166888	NA	NA	NA	NA	FR2326
ENSG00000167232	NA	NA	NA	NA	FR2326
ENSG00000167604	NA	NA	NA	NA	FR2326
ENSG00000168214	NA	NA	NA	NA	FR2326
ENSG00000169020	NA	NA	NA	NA	FR2326
ENSG00000169429	NA	NA	NA	NA	FR2326
ENSG00000170296	NA	NA	NA	NA	FR2326
ENSG00000171223	NA	NA	NA	NA	FR2326
ENSG00000173846	NA	NA	NA	NA	FR2326
ENSG00000175155	NA	NA	NA	NA	FR2326
ENSG00000175550	NA	NA	NA	NA	FR2326
ENSG00000176973	NA	NA	NA	NA	FR2326
ENSG00000177732	NA	NA	NA	NA	FR2326
ENSG00000184905	NA	NA	NA	NA	FR2326
ENSG00000185201	NA	NA	NA	NA	FR2326
ENSG00000185222	NA	NA	NA	NA	FR2326
ENSG00000187446	NA	NA	NA	NA	FR2326
ENSG00000188529	NA	NA	NA	NA	FR2326
ENSG00000213551	NA	NA	NA	NA	FR2326
ENSG00000250312	NA	NA	NA	NA	FR2326
ENSG00000255398	NA	NA	NA	NA	FR2326
ENSG00000265107	NA	NA	NA	NA	FR2326
